"name","type","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","early_career_pay","mid_career_pay","stem_percent","total_minority_percentage"
"Washington State University","Public","4 Year",11398,11581,26365,55900,103700,20,26.50
"Case Western Reserve University","Private","4 Year",15190,49042,49042,66600,117800,37,26.35
"Stetson University","Private","4 Year",13052,46030,46030,47000,86000,7,26.28
"Ramapo College of New Jersey","Public","4 Year",12450,14374,23715,51600,95200,12,26.22
"University of Central Arkansas","Public","4 Year",6854,8751,15274,44900,79800,8,26.21
"Pacific Lutheran University","Private","4 Year",10790,42066,42066,54500,98100,20,26.13
"Spring Hill College","Private","4 Year",13462,39464,39464,46600,89100,12,26.09
"Jacksonville State University","Public","4 Year",8100,10425,20145,43800,80000,7,26.08
"Widener University","Private","4 Year",14446,45948,45948,55700,100100,13,25.94
"Rowan University","Public","4 Year",12552,13697,22339,51100,91200,21,25.86
"Holy Cross College","Private","4 Year",11500,30820,30820,48100,87800,0,25.77
"Rhode Island College","Public","4 Year",11829,8929,21692,47200,83500,5,25.77
"Columbia International University","Private","4 Year",8150,23690,23690,36600,66200,0,25.66
"Southern Vermont College","Private","4 Year",11000,25511,25511,42900,78700,17,25.60
"Oklahoma Wesleyan University","Private","4 Year",8644,26956,26956,43300,78700,1,25.58
"University of Chicago","Private","4 Year",16350,58230,58230,64000,114200,22,25.58
"Kalamazoo College","Private","4 Year",9756,48516,48516,51600,94500,31,25.46
"Spalding University","Private","4 Year",7600,24500,24500,44800,79200,0,25.44
"Eastern Washington University","Public","4 Year",12793,7323,24444,49500,87500,17,25.33
"Grinnell College","Private","4 Year",12810,52392,52392,53400,96500,41,25.32
"Vanderbilt University","Private","4 Year",16234,49816,49816,65400,119100,23,25.31
"Southern Methodist University","Private","4 Year",16845,54493,54493,59700,110400,22,25.28
"Cornell College","Private","4 Year",9384,42299,42299,49600,90600,22,25.23
"Friends University","Private","4 Year",7972,28415,28415,44700,76500,14,25.13
"Tufts University","Private","4 Year",14560,56382,56382,65200,118100,25,25.12
"Shenandoah University","Private","4 Year",10370,32530,32530,48700,86600,7,25.10
"Colorado Christian University","Private","4 Year",11846,31866,31866,46800,80100,2,25.06
"New College of Florida","Public","4 Year",9264,6919,29944,47300,86500,4,24.94
"Stephens College","Private","4 Year",10632,30950,30950,42800,77200,6,24.94
"Boston University","Private","4 Year",15720,53948,53948,61400,113600,25,24.87
"University of the Ozarks","Private","4 Year",7400,24230,24230,42300,74500,16,24.87
"Mississippi State University","Public","4 Year",10090,8760,23360,51100,94100,27,24.75
"Western Governors University","Private","4 Year",0,6670,6670,54500,91500,9,24.62
"Colorado College","Private","4 Year",12512,55470,55470,53100,97900,23,24.58
"University of Saint Joseph","Private","4 Year",11428,39173,39173,49900,88800,9,24.48
"Denison University","Private","4 Year",12710,51960,51960,54400,104800,22,24.32
"Stockton University","Public","4 Year",12282,13739,20866,47400,85800,16,24.27
"Indiana State University","Public","4 Year",10590,9090,19836,47900,85600,8,24.21
"Savannah College of Art and Design","Private","4 Year",14550,36630,36630,46800,80100,3,24.18
"Wichita State University","Public","4 Year",11252,8271,17452,48700,87300,24,24.17
"LeTourneau University","Private","4 Year",9970,30210,30210,56600,98900,21,24.15
"McNeese State University","Public","4 Year",8704,7859,18934,50200,88200,13,24.09
"Rensselaer Polytechnic Institute","Private","4 Year",15260,53880,53880,71300,134100,78,24.07
"Oklahoma City University","Private","4 Year",8896,31026,31026,47700,87900,9,23.95
"University of Georgia","Public","4 Year",10038,11830,30404,54400,100700,14,23.94
"Carleton College","Private","4 Year",14085,54759,54759,58800,109900,45,23.87
"Albany College of Pharmacy and Health Sciences","Private","4 Year",10920,35105,35105,81000,144800,2,23.80
"Colorado Mesa University","Public","4 Year",10925,9243,22440,47800,81500,7,23.79
"Bellevue University","Private","4 Year",8730,9390,9390,49400,84800,23,23.77
"Tabor College","Private","4 Year",9850,28245,28245,43300,77500,7,23.76
"Bastyr University","Private","4 Year",7590,26166,26166,48400,86300,0,23.71
"Walla Walla University","Private","4 Year",4275,28035,28035,53700,97800,22,23.64
"University of Connecticut","Public","4 Year",12874,15730,38098,59100,105200,24,23.57
"Western Washington University","Public","4 Year",11466,8132,23544,55000,99300,16,23.55
