"name","type","state_code","degree_length","room_and_board","in_state_tuition","out_of_state_tuition","total_minority_percentage"
"Columbus Technical College","Public","GA","2 Year",0,3312,5982,55.37
"Central Texas College","Public","TX","2 Year",5040,2700,7050,55.31
"Gateway Community College","Public","CT","2 Year",0,4404,13644,55.23
"Guilford Technical Community College","Public","NC","2 Year",0,2333,8093,55.09
"College of Southern Nevada","Public","NV","2 Year",0,3458,10370,54.96
"Cumberland County College","Public","NJ","2 Year",0,4500,8700,54.81
"Grossmont College","Public","CA","2 Year",0,1418,9158,54.68
"University of New Mexico","Public","NM","4 Year",9864,5445,26845,54.67
"Community College of Aurora","Public","CO","2 Year",0,4887,18747,54.54
"New Mexico Junior College","Public","NM","2 Year",4350,1452,2196,54.47
"Hawaii Pacific University","Private","HI","4 Year",14800,25980,25980,54.38
"Monterey Peninsula College","Public","CA","2 Year",0,1450,9190,54.33
"Gupton Jones College of Funeral Service","Private","GA","2 Year",0,11750,11750,54.32
"Pima Community College","Public","AZ","2 Year",0,2670,9315,54.24
"Chatfield College","Private","OH","2 Year",0,12184,12184,54.17
"Cambridge College","Private","MA","4 Year",0,13040,13040,54.14
"Florence-Darlington Technical College","Public","SC","2 Year",0,5540,8210,54.06
"Palomar College","Public","CA","2 Year",0,1430,9170,54.06
"Howard Community College","Public","MD","2 Year",0,4920,9060,53.97
"Loma Linda University","Private","CA","4 Year",11655,35192,35192,53.96
"Lassen Community College","Public","CA","2 Year",30,1407,9147,53.7
"Notre Dame de Namur University","Private","CA","4 Year",14494,35350,35350,53.63
"Cochise College","Public","AZ","2 Year",7272,2550,7800,53.37
"Yuba College","Public","CA","2 Year",0,1400,8420,53.37
"Cerro Coso Community College","Public","CA","2 Year",0,1382,7802,53.2
"North Carolina Wesleyan College","Private","NC","4 Year",10800,31000,31000,53.1
"Felician University","Private","NJ","4 Year",12880,34315,34315,53.0
"Agnes Scott College","Private","GA","4 Year",12330,41160,41160,52.92
"Northeastern Illinois University","Public","IL","4 Year",11424,14022,25907,52.84
"Dallas Christian College","Private","TX","4 Year",9010,17620,17620,52.75
"Fresno Pacific University","Private","CA","4 Year",8676,31452,31452,52.72
